host_time_s,front_ps_data,rear_ps_data
6.456735300000219,45.0,45.0
6.460086900000533,45.0,45.0
6.462939300000471,45.0,45.0
6.465917500000614,45.0,45.0
6.46901010000056,46.0,45.0
6.471965200000341,46.0,45.0
6.47501740000007,46.0,45.0
6.4787279000001945,45.0,45.0
6.481902000000446,45.0,45.0
6.485086300000148,45.0,45.0
6.489016800000172,45.0,45.0
6.492013300000508,45.0,45.0
6.4950158999999985,45.0,45.0
6.497914999999921,45.0,45.0
6.5010025999999925,45.0,45.0
6.503891000000294,45.0,45.0
6.506926800000656,44.0,45.0
6.510019800000009,44.0,44.0
6.512970499999938,44.0,44.0
6.515897199999927,44.0,44.0
6.520481500000642,45.0,45.0
6.522910800000318,45.0,46.0
6.526064900000165,45.0,46.0
6.528893800000333,47.0,46.0
6.531925300000694,47.0,46.0
6.535115900000164,47.0,45.0
6.5379572000001644,47.0,45.0
6.54179700000077,45.0,45.0
6.544954800000596,45.0,45.0
6.547935800000232,45.0,46.0
6.5510111000003235,45.0,46.0
6.554012300000068,45.0,46.0
6.556946800000333,45.0,46.0
6.560025600000699,45.0,46.0
6.563726300000781,45.0,45.0
6.567060800000036,45.0,45.0
6.570060200000626,45.0,45.0
6.572951600000124,45.0,45.0
6.576088700000582,45.0,45.0
6.579002800000126,44.0,45.0
6.581941100000222,44.0,45.0
6.586647699999958,45.0,45.0
6.590964100000747,46.0,45.0
6.594132200000786,46.0,45.0
6.596930800000337,46.0,46.0
6.600005600000259,46.0,46.0
6.603112300000248,45.0,46.0
6.6066547999998875,45.0,45.0
6.6099700000004304,45.0,45.0
6.612936600000467,45.0,45.0
6.615902400000778,45.0,45.0
6.619006800000534,45.0,45.0
6.621905100000731,45.0,45.0
6.624944600000163,45.0,45.0
6.628080700000282,45.0,45.0
6.630939600000602,45.0,45.0
6.633939800000007,45.0,45.0
6.63696870000058,45.0,45.0
6.639955100000407,46.0,45.0
6.643035500000224,46.0,45.0
6.646290900000167,46.0,45.0
6.649701900000764,45.0,45.0
6.653075600000193,45.0,45.0
6.655926100000215,45.0,45.0
6.659014200000456,45.0,45.0
6.662006100000326,45.0,45.0
6.66492400000061,45.0,45.0
6.668217800000093,45.0,45.0
6.670968800000082,45.0,45.0
6.673974600000292,45.0,45.0
6.676961600000141,46.0,45.0
6.6799276000001555,46.0,44.0
6.683019800000693,46.0,44.0
6.685988600000201,46.0,44.0
6.68989590000001,46.0,44.0
6.693757500000174,45.0,45.0
6.696947600000385,45.0,45.0
6.699956400000701,44.0,45.0
6.703050200000689,44.0,44.0
6.705956400000105,44.0,44.0
6.708933500000057,44.0,44.0
6.711919200000011,44.0,44.0
6.7164299000005485,45.0,45.0
6.718993800000135,45.0,45.0
6.721974900000532,45.0,45.0
6.724934600000779,45.0,45.0
6.727936300000692,45.0,46.0
6.73088800000005,45.0,46.0
6.733981500000482,45.0,46.0
6.7377173000004404,45.0,45.0
6.740951900000255,45.0,45.0
6.743980100000044,45.0,45.0
6.746950900000229,45.0,45.0
6.749935600000754,45.0,45.0
6.7529582000006485,45.0,45.0
6.755960000000414,45.0,45.0
6.758908000000702,45.0,45.0
6.762020300000586,44.0,45.0
6.764870800000608,44.0,45.0
6.767971500000385,44.0,45.0
6.770957200000339,44.0,45.0
6.773945700000695,44.0,45.0
6.776997400000255,44.0,45.0
6.780685800000356,45.0,45.0
6.783915900000466,45.0,45.0
6.787002699999903,46.0,45.0
6.79092270000001,46.0,44.0
6.793989600000714,46.0,44.0
6.796953900000517,46.0,44.0
6.799973000000136,45.0,45.0
6.803020800000013,45.0,45.0
6.805924600000253,45.0,45.0
6.80899700000009,45.0,45.0
6.811912300000586,45.0,45.0
6.814891200000602,45.0,45.0
6.8179611000005025,45.0,45.0
6.82096730000012,45.0,45.0
6.823915100000704,45.0,44.0
6.827033200000187,45.0,44.0
6.82997720000003,45.0,44.0
6.833095200000571,45.0,44.0
